Období,Typ,Od,Do,Dungeon,Počet dokončení,Hráči (seznam),Časy dokončení
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Ankh 1 / Ankh 2 / CoM easy pavouk / Cyclop Dungeon / Cyclops Valley / Hythloth / Ice Dungeon 2 / Poisoned River 2 / Underground Quagmire 3 / Wisp 2,3,"Lofax, Seraphina Lightwellova, Cpre","03:37:10, 03:37:10, 03:37:10"
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Ankh 3 / Heroic Temple nesmrtelná / Poisoned River 3 / Pride Ocistec / Shame,5,"Elendal, Bofek, Alienrebell, Holy Blood Berry, Xyxin","03:37:10, 03:37:10, 03:37:10, 03:37:10, 03:37:10"
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Blood / CoM easy demon / Covetous / Destard 2 / Drow City / Elemental Planes 1 (water) / Fanatic Caves / Heroic Temple,2,"Ladicek, Rufilin","03:37:10, 03:37:10"
2025-11-21,DENNÍ,2025-11-21,2025-11-21,CoM hard pavouk / CoM hard demon / Citadela / Destard 3 / Elemental Planes 2 (earth) / Fire / Pride Rise,2,"Apollonyuis, Libi","03:37:10, 03:37:10"
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Despise 1 / Dragon City / Fortress of Despair / Ophodian lair / Ratman Mines / Vestirna Osath / Yomotsu Mines 2,1,Mikif,03:37:10
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Doom / Deceit / Destard 1 / Fan Dancer Dojo / Ity / Poisoned River 1 / Terathran Keep / Wrong / Yomotsu Mines 1,1,Bejkonator,03:37:10
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Neznámý dungeon (12 bodů),1,Manhatheador,03:37:10
2025-11-21,DENNÍ,2025-11-21,2025-11-21,Neznámý dungeon (4 bodů),1,Anaite,03:37:10
